,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
127,bookkeeper,/apache/bookkeeper/util/OrderedSafeExecutor.java,4.1.0,98,41.0,11,11.0,33,0.0,0,0,0,0,1,0.0,90.0,0.0,1,0.0
128,bookkeeper,/hedwig/client/handlers/MessageConsumeCallback.java,4.1.0,96,45.0,5,5.0,35,0.0,0,0,0,0,1,0.0,28.0,0.0,1,0.0
129,bookkeeper,/hedwig/client/handlers/SubscribeResponseHandler.java,4.1.0,342,172.0,31,31.0,13,0.0,0,78,0,1,2,0.0,30.0,0.0,2,0.0
130,bookkeeper,/hedwig/client/netty/HedwigClientImpl.java,4.1.0,363,178.0,37,37.0,70,0.0,16,16,1,1,2,0.0,30.0,0.0,2,0.0
131,bookkeeper,/hedwig/client/netty/HedwigPublisher.java,4.1.0,242,132.0,24,24.0,44,0.0,13,13,1,1,2,0.0,30.0,0.0,2,0.0
132,bookkeeper,/hedwig/client/netty/HedwigSubscriber.java,4.1.0,682,445.0,84,84.0,100,0.0,94,94,3,3,2,0.0,30.0,0.0,2,0.0
133,bookkeeper,/hedwig/client/netty/ResponseHandler.java,4.1.0,366,202.0,41,41.0,25,0.0,2,2,1,1,1,0.0,32.0,0.0,1,0.0
134,bookkeeper,/hedwig/client/netty/WriteCallback.java,4.1.0,103,53.0,9,9.0,8,0.0,6,6,1,1,1,0.0,28.0,0.0,1,0.0
135,bookkeeper,/hedwig/server/common/ByteStringInterner.java,4.1.0,45,18.0,3,3.0,11,0.0,0,0,0,0,1,0.0,32.0,0.0,1,0.0
136,bookkeeper,/hedwig/server/netty/PubSubServer.java,4.1.0,436,315.0,48,48.0,58,0.0,0,14,0,1,2,0.0,58.0,0.0,2,0.0
137,bookkeeper,/hedwig/server/netty/PubSubServerBean.java,4.1.0,77,42.0,9,9.0,8,0.0,0,0,0,0,1,0.0,83.0,0.0,1,0.0
138,bookkeeper,/hedwig/server/persistence/BookkeeperPersistenceManager.java,4.1.0,906,637.0,112,112.0,12,0.0,19,19,1,1,1,0.0,77.0,0.0,1,0.0
139,bookkeeper,/hedwig/server/persistence/ReadAheadCache.java,4.1.0,744,371.0,71,70.0,2,0.0,0,4,0,1,1,0.0,83.0,0.0,1,0.0
140,bookkeeper,/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,4.2.0,108,60.0,10,10.0,28,56.0,0,0,0,0,1,2.0,133.0,252.0,1,2.0
141,bookkeeper,/apache/bookkeeper/meta/LedgerManager.java,4.2.0,192,21.0,14,0.0,25,50.0,0,0,0,0,1,2.0,133.0,252.0,1,2.0
142,bookkeeper,/apache/bookkeeper/meta/MSLedgerManagerFactory.java,4.2.0,601,474.0,84,84.0,9,20.0,691,0,0,0,1,3.0,133.0,378.0,1,3.0
