,file,h_CC,h_LOC,h_bfs,h_churn,h_exp,h_num_bugs,h_num_post,h_num_pre,k_CC,k_LOC,k_bfs,k_churn,k_exp,k_num_bugs,k_num_post,k_num_pre,project,rel
121,/hedwig/server/netty/PubSubServerBean.java,9.0,77.0,8.0,0.0,83.0,1.0,1.0,0.0,9.0,42.0,0.0,77.0,0.0,0.0,0.0,1.0,bookkeeper,4.1.0
122,/hedwig/server/persistence/BookkeeperPersistenceManager.java,112.0,906.0,12.0,19.0,77.0,1.0,1.0,1.0,112.0,637.0,0.0,218.0,0.0,0.0,0.0,2.0,bookkeeper,4.1.0
123,/hedwig/server/persistence/ReadAheadCache.java,71.0,744.0,2.0,0.0,83.0,1.0,1.0,0.0,70.0,371.0,0.0,46.0,0.0,0.0,0.0,3.0,bookkeeper,4.1.0
124,/apache/bookkeeper/bookie/ScanAndCompareGarbageCollector.java,10.0,108.0,28.0,0.0,133.0,1.0,1.0,0.0,10.0,60.0,56.0,108.0,252.0,2.0,2.0,1.0,bookkeeper,4.2.0
125,/apache/bookkeeper/meta/MSLedgerManagerFactory.java,84.0,601.0,9.0,691.0,133.0,1.0,1.0,0.0,84.0,474.0,20.0,901.0,378.0,3.0,3.0,2.0,bookkeeper,4.2.0
126,/apache/bookkeeper/metastore/InMemoryMetastoreCursor.java,10.0,94.0,9.0,94.0,133.0,1.0,1.0,0.0,10.0,65.0,18.0,0.0,252.0,2.0,2.0,0.0,bookkeeper,4.2.0
127,/apache/bookkeeper/proto/BookieServerBean.java,10.0,91.0,5.0,0.0,50.0,1.0,1.0,0.0,10.0,55.0,10.0,0.0,180.0,2.0,2.0,0.0,bookkeeper,4.2.0
128,/apache/bookkeeper/proto/BookieServerMXBean.java,6.0,58.0,5.0,0.0,50.0,1.0,1.0,0.0,0.0,10.0,10.0,0.0,180.0,2.0,2.0,0.0,bookkeeper,4.2.0
129,/org/apache/camel/Component.java,2.0,46.0,23.0,0.0,1048.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,camel,2.10.0
130,/org/apache/camel/Exchange.java,38.0,511.0,3.0,9.0,475.5,1.0,2.0,0.0,0.0,144.0,3.0,9.0,880.0,2.0,2.0,1.0,camel,2.10.0
131,/apache/camel/builder/BuilderSupport.java,51.0,491.0,2.0,0.0,1.0,1.0,1.0,0.0,51.0,198.0,2.0,74.0,0.0,1.0,1.0,1.0,camel,2.10.0
132,/apache/camel/builder/LoggingErrorHandlerBuilder.java,15.0,99.0,15.0,0.0,1054.0,1.0,1.0,0.0,15.0,60.0,29.0,0.0,1888.0,2.0,2.0,0.0,camel,2.10.0
133,/apache/camel/builder/NotifyBuilder.java,260.0,1620.0,147.0,10.0,1066.5,1.0,2.0,1.0,253.0,997.0,2.0,10.0,944.0,1.0,1.0,1.0,camel,2.10.0
134,/camel/builder/xml/XPathBuilder.java,172.0,1084.0,73.0,0.0,1021.0,1.0,1.0,0.0,172.0,732.0,73.0,0.0,944.0,1.0,1.0,0.0,camel,2.10.0
