,project,file,rel,h_LOC,k_LOC,h_CC,k_CC,h_bfs,k_bfs,h_churn,k_churn,h_num_pre,k_num_pre,h_num_post,k_num_post,h_exp,k_exp,h_num_bugs,k_num_bugs
15350,derby,/store/raw/data/D_BaseContainerHandle.java,10.3.1.4,123,43.0,3,3.0,0,0.0,4,4,1,1,0,0.0,0.0,0.0,0,0.0
15351,derby,/store/raw/data/D_DiagnosticUtil.java,10.3.1.4,437,201.0,20,20.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15352,derby,/store/raw/data/D_RecordId.java,10.3.1.4,107,50.0,3,3.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15353,derby,/store/raw/data/D_StoredPage.java,10.3.1.4,315,168.0,27,27.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15354,derby,/store/raw/data/DecryptInputStream.java,10.3.1.4,92,39.0,6,6.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15355,derby,/store/raw/data/DeleteOperation.java,10.3.1.4,344,171.0,27,27.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15356,derby,/store/raw/data/DirectActions.java,10.3.1.4,317,216.0,26,26.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15357,derby,/store/raw/data/DirectAllocActions.java,10.3.1.4,115,36.0,4,4.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15358,derby,/store/raw/data/DropOnCommit.java,10.3.1.4,96,43.0,8,8.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15359,derby,/store/raw/data/EncryptContainerOperation.java,10.3.1.4,213,82.0,14,14.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15360,derby,/store/raw/data/EncryptContainerUndoOperation.java,10.3.1.4,182,79.0,16,16.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15361,derby,/store/raw/data/EncryptData.java,10.3.1.4,442,251.0,45,45.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15362,derby,/store/raw/data/FileContainer.java,10.3.1.4,3425,1753.0,274,267.0,0,0.0,4,0,0,0,0,0.0,0.0,0.0,0,0.0
15363,derby,/store/raw/data/InitPageOperation.java,10.3.1.4,245,106.0,13,13.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15364,derby,/store/raw/data/InputStreamContainer.java,10.3.1.4,269,125.0,24,24.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15365,derby,/store/raw/data/InsertOperation.java,10.3.1.4,398,215.0,28,28.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15366,derby,/store/raw/data/InvalidatePageOperation.java,10.3.1.4,169,58.0,10,10.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15367,derby,/store/raw/data/LoggableActions.java,10.3.1.4,239,172.0,13,13.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
15368,derby,/store/raw/data/LoggableAllocActions.java,10.3.1.4,150,55.0,4,4.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
