"precision","recall","Fmeasure","AUC","FNrate","FN","TP","TN","FP","model","project","release.train","release.test"
0.476923076923078,0.238461538461538,0.317948717948718,0.786696259044491,0.761538461538461,99,31,1465,34,"lda","derby",1,2
0.543478260869565,0.192307692307692,0.284090909090909,0.76038641145379,0.807692307692308,105,25,1478,21,"qda","derby",1,2
0.314814814814815,0.325358851674641,0.32,0.783055371459977,0.674641148325359,141,68,2220,148,"rf","felix",0,1
0.57,0.272727272727273,0.368932038834951,0.848158864606233,0.727272727272727,152,57,2325,43,"glm","felix",0,1
0.455284552845528,0.267942583732057,0.337349397590361,0.836009229923704,0.732057416267943,153,56,2301,67,"nb","felix",0,1
0.475,0.363636363636364,0.411924119241192,0.32554272274667,0.636363636363636,133,76,2284,84,"rpart","felix",0,1
0.638554216867469,0.253588516746411,0.363013698630137,0.847013206388206,0.746411483253589,156,53,2338,30,"lda","felix",0,1
0.692307692307691,0.172248803827751,0.275862068965517,0.846178714599767,0.827751196172249,173,36,2352,16,"qda","felix",0,1
0.162481536189069,0.714285714285714,0.2647412755716,0.826405331930194,0.285714285714286,44,110,2691,567,"rf","felix",1,2
0.237974683544304,0.61038961038961,0.342440801457195,0.864836207377644,0.38961038961039,60,94,2957,301,"glm","felix",1,2
0.124407582938389,0.681818181818182,0.210420841683367,0.775426921145153,0.318181818181818,49,105,2519,739,"nb","felix",1,2
0.176656151419558,0.727272727272727,0.284263959390863,0.821060845232116,0.272727272727273,42,112,2736,522,"rpart","felix",1,2
0.323404255319149,0.493506493506494,0.390745501285347,0.862693629268215,0.506493506493507,78,76,3099,159,"lda","felix",1,2
0.233830845771144,0.61038961038961,0.338129496402878,0.842894214441176,0.38961038961039,60,94,2950,308,"qda","felix",1,2
0.2575,0.463963963963964,0.331189710610933,0.750406162090945,0.536036036036036,119,103,1727,297,"rf","hive",0,1
0.489130434782609,0.405405405405405,0.443349753694581,0.821139568422177,0.594594594594595,132,90,1930,94,"glm","hive",0,1
0.372093023255814,0.216216216216216,0.273504273504273,0.758759747890183,0.783783783783784,174,48,1943,81,"nb","hive",0,1
0.326409495548962,0.495495495495495,0.393559928443649,0.758351360253534,0.504504504504504,112,110,1797,227,"rpart","hive",0,1
0.623655913978495,0.261261261261261,0.368253968253968,0.821329852579853,0.738738738738739,164,58,1989,35,"lda","hive",0,1
0.535433070866142,0.306306306306306,0.389684813753582,0.790608419684507,0.693693693693694,154,68,1965,59,"qda","hive",0,1
0.217142857142857,0.542857142857143,0.310204081632653,0.768702686202686,0.457142857142857,96,114,1929,411,"rf","hive",1,2
0.337837837837838,0.476190476190476,0.395256916996047,0.818985551485552,0.523809523809524,110,100,2144,196,"glm","hive",1,2
0.305031446540881,0.461904761904762,0.367424242424242,0.799051689051689,0.538095238095238,113,97,2119,221,"nb","hive",1,2
0.276381909547739,0.523809523809524,0.361842105263158,0.775649165649166,0.476190476190476,100,110,2052,288,"rpart","hive",1,2
0.484375,0.295238095238095,0.366863905325444,0.819577737077737,0.704761904761905,148,62,2274,66,"lda","hive",1,2
0.334426229508197,0.485714285714286,0.396116504854369,0.793141025641026,0.514285714285714,108,102,2137,203,"qda","hive",1,2
0.100456621004566,0.392857142857143,0.16,0.780256205762137,0.607142857142857,34,22,1236,197,"rf","openjpa",0,1
