,id,exp,priority,bfs,project,norm_exp,norm_priority,norm_bfs,cost
6713,PIG-2938,39.0,4.0,2,pig,0.09718670076726343,0.75,0.0006459948320413437,0.08821941617180402
6714,PIG-2940,317.0,3.0,2,pig,0.8081841432225064,0.5,0.0006459948320413437,0.624119451722912
6715,PIG-2941,6.0,3.0,2,pig,0.01278772378516624,0.5,0.0006459948320413437,0.009875307780425824
6716,PIG-2944,317.0,3.0,2,pig,0.8081841432225064,0.5,0.0006459948320413437,0.624119451722912
6717,PIG-2950,351.0,1.0,2,pig,0.8951406649616369,0.0,0.0006459948320413437,0.45953098871581494
6718,PIG-2961,44.0,4.0,2,pig,0.10997442455242967,0.75,0.0006459948320413437,0.09974060858230081
6719,PIG-2963,44.0,4.0,2,pig,0.10997442455242967,0.75,0.0006459948320413437,0.09974060858230081
6720,PIG-2965,6.0,3.0,2,pig,0.01278772378516624,0.5,0.0006459948320413437,0.009875307780425824
6721,PIG-2968,34.0,2.0,2,pig,0.0843989769820972,0.25,0.0006459948320413437,0.05365583894031364
6722,PIG-2970,392.0,2.0,2,pig,1.0000000000000002,0.25,0.0006459948320413437,0.6428825365057211
6723,PIG-2971,44.0,3.0,2,pig,0.10997442455242967,0.5,0.0006459948320413437,0.08492764691166207
6724,PIG-2972,44.0,3.0,4,pig,0.10997442455242967,0.5,0.001937984496124031,0.14417949359421703
6725,PIG-2980,97.0,3.0,2,pig,0.24552429667519185,0.5,0.0006459948320413437,0.1896059093841758
6726,PIG-2989,62.0,2.0,2,pig,0.15601023017902815,0.25,0.0006459948320413437,0.09974060858230081
6727,PIG-3002,21.0,3.0,2,pig,0.05115089514066496,0.5,0.0006459948320413437,0.0395012311217033
6728,PIG-3013,26.0,3.0,2,pig,0.0639386189258312,0.5,0.0006459948320413437,0.04937653890212912
6729,PIG-3014,73.0,3.0,74,pig,0.1841432225063939,0.5,0.04715762273901809,3.6499137556453842
6730,PIG-3014,73.0,3.0,74,pig,0.1841432225063939,0.5,0.04715762273901809,3.6499137556453842
6731,PIG-3014,73.0,3.0,74,pig,0.1841432225063939,0.5,0.04715762273901809,3.6499137556453842
6732,PIG-3017,45.0,3.0,2,pig,0.11253196930946292,0.5,0.0006459948320413437,0.08690270846774725
6733,PIG-3018,20.0,3.0,2,pig,0.04859335038363172,0.5,0.0006459948320413437,0.037526169565618134
6734,PIG-3020,44.0,3.0,6,pig,0.10997442455242967,0.5,0.003229974160206718,0.20343134027677195
6735,PIG-3020,44.0,3.0,6,pig,0.10997442455242967,0.5,0.003229974160206718,0.20343134027677195
6736,PIG-3031,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6737,PIG-3033,34.0,3.0,2,pig,0.0843989769820972,0.5,0.0006459948320413437,0.06517703135081043
6738,PIG-3035,1.0,3.0,2,pig,0.0,0.5,0.0006459948320413437,0.0
6739,PIG-3039,9.0,3.0,2,pig,0.020460358056265986,0.5,0.0006459948320413437,0.015800492448681317
6740,PIG-3045,34.0,3.0,6,pig,0.0843989769820972,0.5,0.003229974160206718,0.1573465706347848
6741,PIG-3046,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6742,PIG-3050,73.0,3.0,2,pig,0.1841432225063939,0.5,0.0006459948320413437,0.14220443203813185
6743,PIG-3051,9.0,3.0,2,pig,0.020460358056265986,0.5,0.0006459948320413437,0.015800492448681317
6744,PIG-3058,34.0,3.0,2,pig,0.0843989769820972,0.5,0.0006459948320413437,0.06517703135081043
6745,PIG-3060,392.0,3.0,4,pig,1.0000000000000002,0.5,0.001937984496124031,1.2897151961236126
