project,major,minor,hash
accumulo,1.0,6.0,c56ef2eec1f62e940cb9f137bfd0b2821aa478e7
accumulo,1.0,6.0,d77fd6fd29d2c769991b44b6f98be14b108169aa
accumulo,1.0,6.0,2ab011c3a7dc2eaa52bd8845533af331e28ef7b5
accumulo,1.0,6.0,ba48f030b1c3f8b249b32f55e9a6b952da28c178
accumulo,1.0,6.0,2412419afe54d797af59ff9cf1cf182484c14b3c
accumulo,1.0,6.0,edfbd2fffd7e1c67e0bc2eb9f4b6d47f27979f26
accumulo,1.0,6.0,70e50f31d666c467b209adb4ea8dbdf32200df35
accumulo,1.0,6.0,5c659b578604c0714d0c64a58b8d098fb2c019b1
accumulo,1.0,6.0,05254f388dbf5c6d6cd8aae9fb86c13a6f421ae2
accumulo,1.0,6.0,97a309dd224e8478b881cd4e0cb0d47da3ebdb59
accumulo,1.0,6.0,3e749fb2cc05a4fdae9753d97ffa99bff5aeb065
accumulo,1.0,6.0,59db6fedd3aea9615be156d1f7a1be08e0de0a86
accumulo,1.0,6.0,7b1a8e7251707d6f1dca8575771057384c34901f
accumulo,1.0,6.0,e308c0ecaafbec095c0f858c6f2c3856032143a0
accumulo,1.0,6.0,4df3959b53a9b9fafac42c4a92df1a55aa25cce5
accumulo,1.0,6.0,8a363c3e3695d8f1675b48d8308a7c512eef1b12
accumulo,1.0,6.0,828c3b3ee2347fcb1b05fea6f3c722fbaa25c32d
accumulo,1.0,6.0,be688faa68d35579a9782a93816790f7a870d7ca
accumulo,1.0,6.0,448a79e00c56684325078cfe257733a450e8f344
accumulo,1.0,6.0,0010b94e8597b4c4763ac111e6f99c41a1b0cd1f
accumulo,1.0,6.0,31b01e9228075113f0f81c73678efc2ad7fdd4a1
accumulo,1.0,6.0,4fdefd783e0709dcdcb57157a36cfaeb272c599b
accumulo,1.0,6.0,ff0693cc5713a34355f5f8864631bdc5dff546b5
accumulo,1.0,6.0,bb8bdc066699d62b90a5dcafa5b763ec2553384a
accumulo,1.0,6.0,c25a41fe905cda4aa914f232db5cc26b3254f4a0
accumulo,1.0,6.0,03baf91611120dfdd36eaa5a824b99144b9eb36a
accumulo,1.0,6.0,53b9f25db94d812f78fd468e88e05da33fdd5190
accumulo,1.0,6.0,9172f52bc74de2590603c5282c19264447e33da6
accumulo,1.0,6.0,42f6b58e58a8fb1a8f05c371844f86c536fe143a
accumulo,1.0,6.0,492768d38221af64b71ba37bb8979d7bb841e738
accumulo,1.0,6.0,7d48b1adec6b124054f64ca0c87913ba5a4b6b7e
accumulo,1.0,6.0,550e5e61affc490f0931a8991d40f283b0282115
accumulo,1.0,6.0,d45b723f0df73fa3f24d9911da44481615c7298b
accumulo,1.0,6.0,7c94c086de2945d698d0907c9dc5ec6959042286
accumulo,1.0,6.0,bbd6aeb3303ddd230f7f609b1cf7d3137cbc180d
accumulo,1.0,6.0,acce1d53f54dbb88804caf4b35f8eaac01252f5e
accumulo,1.0,6.0,53f2e3457f7ab83ae3953bb9c7551ec357ed5410
accumulo,1.0,6.0,4a27da54696ed97b197ce0abd5bef0a2ccfc2b80
accumulo,1.0,6.0,a4174248a96cadcc79a9de4015c90c6618a96418
accumulo,1.0,6.0,beb494478f64ad6ec02f975edc8fb680bf012d8e
accumulo,1.0,6.0,7d32c5229219fafe60699dea88ea04544f51d61d
accumulo,1.0,6.0,d1543a4e590531eb71f4e16481b29f435c019654
accumulo,1.0,6.0,3bd0caa5877e16fd3ff98863040dc6eb67fdeef2
accumulo,1.0,6.0,053e83fc4225969efda31ee4957651640cc7ac9e
accumulo,1.0,6.0,c3837f424c1fd011ba0cdf8dfd0162a1ad283121
accumulo,1.0,6.0,b7fe94c02e74f640fe1ba8b5e71439a189636b42
accumulo,1.0,6.0,6df83da60d594f66d147a479065ff51db73fb1a2
accumulo,1.0,6.0,ae750622c2baf4761afd9354540383f3b01ab6e2
accumulo,1.0,6.0,e68d748b02c9d11f57767addb0daec905e10cd31
accumulo,1.0,6.0,a3172ac7d71a4227d2f0d55438387156ad5c27cc
accumulo,1.0,6.0,a99b0b67429aeb378f1e04fe8321d55e46893b50
accumulo,1.0,6.0,b66ee24cd101aeb1c49b5e6840bfa0e61cc60071
accumulo,1.0,6.0,c657c5758a1ab1224abc3377066699eaf826dd62
accumulo,1.0,6.0,6dd1bd3e9a51e4ca32fe6795f9448c7f12eaca2b
accumulo,1.0,6.0,a085d62337b78c846710b398c1d3eb9589c96c0b
accumulo,1.0,6.0,46bf772d6b49022afd58e3b16580d7ee12773cc5
accumulo,1.0,6.0,fc4de9022e3b82e71c4fca51e4f80b2cacb3ea90
accumulo,1.0,6.0,117dce76568bbe6355eae2ca058bdc3f81e53578
accumulo,1.0,6.0,6c050913cdf8c0fa0743f6a4408f4808026f11c8
accumulo,1.0,6.0,bc9cee0c02952a0ba6d4c96f71204e84a5acb701
accumulo,1.0,6.0,12b53b043b60368fb647db9c0a15916171d4504b
accumulo,1.0,6.0,0297276e692d117cd515ec31d1ca1412570e4785
accumulo,1.0,6.0,4fabfbaa12ec71e4495af5162717677aee3a9125
accumulo,1.0,6.0,21ab9724f47a036a08a0683096ed4896ba79e24d
accumulo,1.0,6.0,75c3f28dddf1d8df63658b4b770fc8c34806eb3c
accumulo,1.0,6.0,657a4e5de35f7c17aa8a3bedc228b28c26a2a0b1
accumulo,1.0,6.0,ffae5ccbac21d945b7d0e3135f54fc5f8201f5eb
accumulo,1.0,6.0,4fd8686e4c48a2bcac85f365097c00cc841f6bdc
accumulo,1.0,6.0,4e499f359e39088449a731c942d8ec18c4d19f32
accumulo,1.0,6.0,b75dcc5b46cba503e99b02ca0211f9b2b889f180
accumulo,1.0,6.0,45d2110edc6717eb6d328b487736e2b8eac44504
accumulo,1.0,6.0,2f7b9d306ab5b75e8b99d8ca0de1f25ddfcf53d5
accumulo,1.0,6.0,d7e939fd9909779ade821ae7c7d1589c59fd978b
accumulo,1.0,6.0,e0571816af3bae8d3423d6020046d617cb6e6782
accumulo,1.0,6.0,bee78fa69f03cf1910d3b227e474d6b486f3c0a9
accumulo,1.0,6.0,d095b21f965b8f45f6df45ceb7deb0b0beaac8e8
accumulo,1.0,6.0,a3c2f61f450f21f37c7d71f17d3ff020efc1e823
accumulo,1.0,6.0,2b3202aee60a92c909d28d6376e73fc4cac1b370
accumulo,1.0,6.0,18a55009e2648c285b58f7aae0b0d2872cab1037
accumulo,1.0,6.0,bd970de81567f4bcc363fe29bb109153d97a8947
accumulo,1.0,6.0,f71720ab6dbdf99a5625e784a5b280939bb7b5fe
accumulo,1.0,6.0,e9aafc23c32324e527c7eb9364de6132f563ece3
accumulo,1.0,6.0,a8058a69f24ebda32e2f54e52390a98b7f7e1bf0
accumulo,1.0,6.0,96d86621837d648afb130fe259a6f6cca700accc
accumulo,1.0,6.0,6780a6970c186e639a3a693af6216f11469735f2
